,建物名,緯度,経度
1466,妙高保健センター,36.934118494396,138.22809064982
1467,妙高高原ふれあい会館,36.871983948001,138.18623764701
1468,新井中央小学校放課後児童クラブ,37.026022560963,138.26241639652
1469,新井中学校体育館,37.019061393949,138.24187276186
1470,新井北小学校体育館,37.049792835901,138.26188787363
1471,新井総合コミュニティセンター,37.022816258971,138.25003162974
1472,新井ふれあい会館,37.022905715249,138.25072991039
1473,新井中央小学校体育館,37.026744047661,138.26120554806
1474,石塚町公民館,37.032576045368,138.25321235735
1475,旧原通小学校体育館,36.950962062082,138.25343258077
1476,白岩会館,36.95093662459,138.30877635299
1477,旧平丸小学校,36.948635910536,138.3171022015
1478,妙高中学校体育館,36.932523803457,138.22409386538
1479,妙高小学校体育館,36.934511710545,138.21926141714
1480,妙高高原南小学校体育館,36.860907126585,138.20033974718
1481,妙高高原中学校体育館,36.87034851044,138.20283943843
1482,妙高高原体育館,36.866207161922,138.19928256557
1483,妙高市農村環境改善センター,37.039646817445,138.24767631445
1484,矢代コミュニティスポーツセンター,37.005315929922,138.21208864215
1485,新井南小学校体育館,36.980477129281,138.26896879266
1486,総合支援学校体育館,37.024806652273,138.23554775504
1487,杉野沢トレーニングセンター,36.851948677707,138.16521443527
1488,水上コミュニティセンター,37.028585690243,138.26871432698
1489,大鹿克雪管理センター,36.942217406572,138.25965010517
1490,妙高市多目的集会施設大濁集落センター,36.983463222246,138.31673716473
1491,上樽本集会所,36.883369206084,138.27636949239
1492,長沢会館,36.926502,138.301818
1493,妙高高原メッセ,36.871898975879,138.20660900822
1494,妙高高原北小学校体育館,36.882596879809,138.20687785355
1495,赤倉体育センター,36.889495426153,138.17910444882
1496,斐太北小学校体育館,37.057268539826,138.2428400644
1497,姫川原コミュニティスポーツセンター,37.006492004309,138.26038430846
1498,妙高ふれあいパーク,36.942133977987,138.23604933653
1499,妙高市多目的集会施設泉会館,36.973414052307,138.28255044304
1500,妙高市多目的集会施設瑞穂会館,36.956440316112,138.26981473847
1501,新井小学校体育館,37.022938714375,138.24745542271
